14.11.2020(18:47:44) :: librarian@192.168.1.101:1099/JADE REGISTERED AS LIBRARIAN
14.11.2020(18:47:44) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_3@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:47:44) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_4@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:47:44) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_1@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:47:44) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_2@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:47:44) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_0@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:47:44) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:44) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:44) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:44) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:44) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:45) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:45) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:45) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:45) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:45) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:45) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:45) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:45) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:45) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:45) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:45) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:45) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:45) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:45) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:45) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:46) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:46) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:46) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:46) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:46) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:47) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:47) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:47) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:47) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:47) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:48) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:48) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:48) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:48) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:48) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:48) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:48) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:48) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:48) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:48) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:48) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:48) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:48) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:48) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:48) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:50) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:50) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:50) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:50) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:50) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:51) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:51) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:51) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:51) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:51) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:51) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:51) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:51) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:51) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:51) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:51) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:51) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:51) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:51) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:51) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:53) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:53) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:53) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:53) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:53) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:55) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:55) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:55) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:55) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:55) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
