14.11.2020(17:53:23) :: librarian@192.168.1.101:1099/JADE REGISTERED AS LIBRARIAN
14.11.2020(17:53:23) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_3@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(17:53:23) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_4@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(17:53:23) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_1@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(17:53:23) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_2@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(17:53:23) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_0@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(17:53:24) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:24) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:24) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:24) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:24) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:27) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:27) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:27) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:27) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:27) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:28) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:28) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:28) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:28) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:28) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:29) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:30) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:30) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:30) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:30) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:30) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:30) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:30) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:30) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:30) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:30) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:30) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:30) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:30) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:30) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:30) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:31) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:31) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:31) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:31) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:31) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:31) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:31) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:31) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:31) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:31) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:32) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:32) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:32) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:32) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:32) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:32) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:32) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:32) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:32) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:32) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:33) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:33) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:33) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:33) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:33) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:35) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:35) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:35) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:35) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:35) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:35) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:35) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(17:53:35) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
