14.11.2020(18:36:09) :: librarian@192.168.1.101:1099/JADE REGISTERED AS LIBRARIAN
14.11.2020(18:36:09) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_3@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:36:09) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_4@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:36:09) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_1@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:36:09) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_2@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:36:09) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_0@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:36:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:11) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:11) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:11) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:11) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:11) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:12) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:12) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:12) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:12) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:12) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:12) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:12) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:12) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:12) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:12) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:13) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:13) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:13) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:13) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:13) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:13) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:13) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:13) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:13) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:36:13) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
