14.11.2020(18:35:16) :: librarian@192.168.1.101:1099/JADE REGISTERED AS LIBRARIAN
14.11.2020(18:35:16) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_3@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:35:16) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_4@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:35:16) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_1@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:35:16) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_2@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:35:16) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_0@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:35:17) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:17) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:17) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:17) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:17) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:19) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:19) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:19) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:19) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:19) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:22) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:22) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:22) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:22) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:22) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:23) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:23) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:23) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:23) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:23) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:24) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:24) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:24) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:24) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:24) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:24) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:24) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:24) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:24) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:24) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:25) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:25) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:25) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:25) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:25) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:25) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:25) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:25) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:25) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:25) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:26) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:26) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:26) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:26) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:26) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:27) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:27) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:27) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:27) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:27) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:27) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:27) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:27) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:27) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:27) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:28) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:35:28) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
