14.11.2020(18:48:08) :: librarian@192.168.1.101:1099/JADE REGISTERED AS LIBRARIAN
14.11.2020(18:48:08) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_3@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:48:08) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_4@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:48:08) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_1@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:48:08) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_2@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:48:08) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_0@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:48:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:16) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:16) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:16) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:16) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:16) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:16) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:16) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:16) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:16) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:16) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:21) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:21) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
